timestamp,sender,receiver,message_type,content
10,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
10,AGV 2,UAV 2,CHARGING_START,Start charging
11,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 11.4%"
11,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
11,AGV 2,UAV 1,CHARGING_START,Start charging
11,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 14.3%"
11,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
11,AGV 2,UAV 2,CHARGING_START,Start charging
12,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 11.1%"
12,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
12,AGV 2,UAV 1,CHARGING_START,Start charging
12,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 15.8%"
